Name,Date,Location,Type,Region,URL,Latitude,Longitude,Weather
Steinunn Porarinsdottir: Wayfinders,Now through 1/28/2024,National Nordic Museum,Museums,Fremont / Ballard,,47.6683615,-122.39177949359151,"[False, True, False]"
Hanako O’Leary: Izanami,Now through 1/28/2024,Frye Art Museum,Museums,Capitol Hill / Central District,,47.60719095,-122.32405377084555,"[False, True, False]"
Gage Alumni Show,Now through 1/28/2024,Fountainhead Gallery,Visual Arts & Galleries,Queen Anne / Seattle Center,,28.1110963,-80.6740045,"[False, True, False]"
Genre Box,Now through 1/28/2024,Market Theatre,Theatre,Downtown,,52.9516629,-1.1450568781476997,
Bohemia,Now through 1/28/2024,The Triple Door,Theatre,Downtown,,47.6086439,-122.337685,"[False, True, False]"
Alice in Shadowland,Now through 1/28/2024,12th Avenue Arts,Theatre,Capitol Hill / Central District,,47.6157219,-122.31667,"[False, True, False]"
Lee Ritenour and Dave Grusin,Now through 1/28/2024,Dimitriou's Jazz Alley,Music,Downtown,,47.6148163,-122.339691,"[False, True, False]"
Tacoma Home + Garden Show,Now through 1/28/2024,Tacoma Dome,Festivals & Special Events,South,,47.236887249999995,-122.42695224187412,"[False, True, False]"
Annie Eastwood with Kimball and the Fugitives,1/28/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,,47.6615049,-122.332319,"[False, True, False]"
Black and Boujee Panel Discussion,1/28/2024,Bainbridge Island Museum of Art,Readings & Lectures,West,,47.6251322,-122.51453295865404,"[False, True, False]"
Celebrate Asia,1/28/2024,Benaroya Hall,Music,Downtown,,47.60811665,-122.33697040702705,"[False, True, False]"
Django’s Birthday Concert with Ranger and the Re-Arrangers,1/28/2024,The Royal Room,Music,South Seattle,,32.2275723,-110.9685178,"[False, True, False]"
Family Day with Birds Connect Seattle,1/28/2024,National Nordic Museum,Museums,Fremont / Ballard,,47.6683615,-122.39177949359151,"[False, True, False]"
Fossil Finders | Ice Ages,1/28/2024,Burke Museum,Museums,University District,,47.6605211,-122.31156049949824,"[False, True, False]"
Seattle Kraken vs. Columbus Blue Jackets,1/28/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,47.6219014,-122.353990491486,"[False, True, False]"
Tacoma Stars vs. San Diego Sockers,1/28/2024,accesso ShoWare Center,Sports,South,,47.38765995,-122.24000381780328,"[False, True, False]"
Adira Sharkey,1/29/2024,Tractor Tavern,Music,Fremont / Ballard,,47.6657081,-122.38280295082915,"[False, True, False]"
"Car, The Garden",1/29/2024,The Crocodile,Music,Downtown,,47.6146474,-122.3490734,"[False, True, False]"
Walla Walla Wine On Tour,1/29/2024,Marion Oliver McCaw Hall,Festivals & Special Events,Queen Anne / Seattle Center,,47.62397705,-122.35038850536958,"[False, True, False]"
Cheryl Wheeler,1/30/2024,The Triple Door,Music,Downtown,,47.6086439,-122.337685,"[False, True, False]"
Giantish,1/30/2024,High Dive,Music,Fremont / Ballard,,41.7111511,-93.631911,"[False, True, False]"
Seattle Thunderbirds vs. Prince George Cougars,1/30/2024,accesso ShoWare Center,Sports,South,,47.38765995,-122.24000381780328,"[False, True, False]"
A/political Rocks,Now through 1/31/2024,Henry Art Gallery,Museums,University District,,47.6565246,-122.31173279895636,"[False, True, False]"
Sophia Al-Maria,Now through 1/31/2024,Henry Art Gallery,Museums,University District,,47.6565246,-122.31173279895636,"[False, True, False]"
Jahari Stampley,1/30/2024 through 1/31/2024,Dimitriou's Jazz Alley,Music,Downtown,,47.6148163,-122.339691,"[False, True, False]"
FRAKTURED: Home of the Broken Beat,1/31/2024,High Dive,Music,Fremont / Ballard,,41.7111511,-93.631911,"[False, True, False]"
